$ETH
$LTC
$NEO
$ETC
$XVG
$BTG
$BCC
$BTC
$QTUM
$POT
$BCN
$NXS
$ATMC
$GXS
$ADA
$PAY
$ARDR
$DGD
$BAY
$CVC
$KMD
$IOTA
$ZEC
$XRP
$BCH
